Date,TempF,Huminidity,TempC
10/29/2022,79,46,26
10/30/2022,80,45,25
10/31/2022,77,47,24
11/1/2022,75,48,27
11/2/2022,80,44,26
11/3/2022,75,45,25
11/4/2022,75.46666667,45.13333333,25.6
11/5/2022,74.83809524,44.93333333,25.62857143
11/6/2022,74.20952381,44.73333333,25.65714286
11/7/2022,73.58095238,44.53333333,25.68571429
11/8/2022,72.95238095,44.33333333,25.71428571
11/9/2022,72.32380952,44.13333333,25.74285714
11/10/2022,71.6952381,43.93333333,25.77142857
11/11/2022,71.06666667,43.73333333,25.8
11/12/2022,70.43809524,43.53333333,25.82857143
11/13/2022,69.80952381,43.33333333,25.85714286
11/14/2022,69.18095238,43.13333333,25.88571429
11/15/2022,68.55238095,42.93333333,25.91428571
11/16/2022,67.92380952,42.73333333,25.94285714
11/17/2022,67.2952381,42.53333333,25.97142857
11/18/2022,66.66666667,42.33333333,26
11/19/2022,66.1754386,41.94736842,26.05263158
11/20/2022,65.56666667,41.72105263,26.08421053
11/21/2022,64.95789474,41.49473684,26.11578947
11/22/2022,64.34912281,41.26842105,26.14736842
11/23/2022,63.74035088,41.04210526,26.17894737
11/24/2022,63.13157895,40.81578947,26.21052632
11/25/2022,62.52280702,40.58947368,26.24210526
11/26/2022,61.91403509,40.36315789,26.27368421
11/27/2022,61.30526316,40.13684211,26.30526316
11/28/2022,60.69649123,39.91052632,26.33684211
11/29/2022,60.0877193,39.68421053,26.36842105
11/30/2022,59.47894737,39.45789474,26.4
12/1/2022,58.87017544,39.23157895,26.43157895
12/2/2022,58.26140351,39.00526316,26.46315789
12/3/2022,57.65263158,38.77894737,26.49473684
12/4/2022,57.04385965,38.55263158,26.52631579
12/5/2022,56.43508772,38.32631579,26.55789474
12/6/2022,55.82631579,38.1,26.58947368
12/7/2022,55.21754386,37.87368421,26.62105263
12/8/2022,54.60877193,37.64736842,26.65263158
12/9/2022,54,37.42105263,26.68421053
12/10/2022,53.39122807,37.19473684,26.71578947
12/11/2022,52.78245614,36.96842105,26.74736842
12/12/2022,52.17368421,36.74210526,26.77894737
12/13/2022,51.56491228,36.51578947,26.81052632
12/14/2022,50.95614035,36.28947368,26.84210526
12/15/2022,50.34736842,36.06315789,26.87368421
12/16/2022,49.73859649,35.83684211,26.90526316
12/17/2022,49.12982456,35.61052632,26.93684211
12/18/2022,48.52105263,35.38421053,26.96842105
12/19/2022,47.9122807,35.15789474,27
12/20/2022,47.30350877,34.93157895,27.03157895
12/21/2022,46.69473684,34.70526316,27.06315789
12/22/2022,46.08596491,34.47894737,27.09473684
12/23/2022,45.47719298,34.25263158,27.12631579
12/24/2022,44.86842105,34.02631579,27.15789474
12/25/2022,44.25964912,33.8,27.18947368
12/26/2022,43.65087719,33.57368421,27.22105263
12/27/2022,43.04210526,33.34736842,27.25263158
12/28/2022,42.37981267,33.191011,27.27718109
12/29/2022,41.76836275,32.96817674,27.30842602
12/30/2022,41.15691284,32.74534247,27.33967096
12/31/2022,40.54546292,32.5225082,27.3709159
1/1/2023,39.93401301,32.29967393,27.40216083
1/2/2023,39.32256309,32.07683967,27.43340577
1/3/2023,38.71111317,31.8540054,27.46465071
1/4/2023,38.09966326,31.63117113,27.49589564
1/5/2023,37.48821334,31.40833687,27.52714058
1/6/2023,36.87676343,31.1855026,27.55838552
1/7/2023,36.26531351,30.96266833,27.58963045
1/8/2023,35.6538636,30.73983407,27.62087539
1/9/2023,35.04241368,30.5169998,27.65212033
1/10/2023,34.43096377,30.29416553,27.68336526
1/11/2023,33.81951385,30.07133127,27.7146102
1/12/2023,33.20806394,29.848497,27.74585514
1/13/2023,32.59661402,29.62566273,27.77710007
1/14/2023,31.98516411,29.40282847,27.80834501
1/15/2023,31.37371419,29.1799942,27.83958994
1/16/2023,30.76226427,28.95715993,27.87083488
1/17/2023,30.15081436,28.73432567,27.90207982
1/18/2023,29.53936444,28.5114914,27.93332475
1/19/2023,28.92791453,28.28865713,27.96456969
1/20/2023,28.31646461,28.06582287,27.99581463
1/21/2023,27.7050147,27.8429886,28.02705956
1/22/2023,27.09356478,27.62015433,28.0583045
1/23/2023,26.48211487,27.39732006,28.08954944
1/24/2023,25.87066495,27.1744858,28.12079437
1/25/2023,25.25921504,26.95165153,28.15203931
1/26/2023,24.64776512,26.72881726,28.18328425
1/27/2023,24.0363152,26.505983,28.21452918
1/28/2023,23.42486529,26.28314873,28.24577412
1/29/2023,22.81341537,26.06031446,28.27701906
1/30/2023,22.20196546,25.8374802,28.30826399
1/31/2023,21.59051554,25.61464593,28.33950893
2/1/2023,20.97906563,25.39181166,28.37075386
2/2/2023,20.36761571,25.1689774,28.4019988
2/3/2023,19.7561658,24.94614313,28.43324374
2/4/2023,19.14471588,24.72330886,28.46448867
2/5/2023,18.53326597,24.5004746,28.49573361
2/6/2023,17.92181605,24.27764033,28.52697855
2/7/2023,17.31036613,24.05480606,28.55822348
2/8/2023,16.69891622,23.8319718,28.58946842
2/9/2023,16.0874663,23.60913753,28.62071336
2/10/2023,15.47601639,23.38630326,28.65195829
2/11/2023,14.86456647,23.16346899,28.68320323
2/12/2023,14.25311656,22.94063473,28.71444817
2/13/2023,13.64166664,22.71780046,28.7456931
2/14/2023,13.03021673,22.49496619,28.77693804
2/15/2023,12.41876681,22.27213193,28.80818297
